"doc_id","nppes_provider_city","nppes_provider_state","number_of_hcpcs","total_services","total_medicare_allowed_amt","number_of_drug_hcpcs","total_drug_services","total_drug_medicare_allowed_amt","number_of_med_hcpcs","total_med_services","total_med_medicare_allowed_amt","beneficiary_average_risk_score","top_hcpcs_code_1","top_hcpcs_code_2","top_hcpcs_code_3","top_hcpcs_code_diff_submitted_received_amt_1","top_hcpcs_code_diff_submitted_received_amt_2","top_hcpcs_code_diff_submitted_received_amt_3"
"DD3006819","CHICAGO","IL",17,6928,132040.83,NA,NA,NA,NA,NA,NA,1.9145,"99232","99215","99221",0.2850564,0.2808773,0.2506609
"DQ9039317","ALEXANDRIA","VA",48,4880,240710.54,NA,NA,NA,NA,NA,NA,1.5171,"95886","95956","95816",0.3692762,0.3690826,0.3599747
"HB1087798","ROCK HILL","SC",90,36366,1080358.29,12,31265,413009.28,78,5101,667349.01,1.2895,"99214","99213","95813",0.5791309,0.5726543,0.5028971
"GI0623343","SPOKANE","WA",30,16376,192819.04,1,15555,85961.38,29,821,106857.66,1.4067,"J0585","95885","95937",0.3604331,0.3409699,0.33782
"UT5336113","AUSTELL","GA",36,13782,518998.84,1,10265,56578.23,35,3517,462420.61,1.8336,"95957","95819","99291",0.6307796,0.5691042,0.5504062
"EP7926311","NAPLES","FL",45,3087.5,122085.58,NA,NA,NA,NA,NA,NA,1.2241,"92546","99213","95912",0.3936757,0.3725273,0.3703319
"JH8197025","JOHNSTOWN","PA",20,826,52270.22,0,0,0,20,826,52270.22,1.2184,"99214","99204","99213",0.4467667,0.4049169,0.3740945
"AA8171623","SOUTHFIELD","MI",14,300,30390.26,0,0,0,14,300,30390.26,3.023,"99213","99214","95819",0.6907437,0.6064111,0.4938523
"NM4342837","EL PASO","TX",8,229,13875.68,0,0,0,8,229,13875.68,2.9127,"95819","95822","95812",0.2689634,0.2689634,0.2649757
"VT4156104","ITHACA","NY",38,14750,185959.96,2,13710,75488.45,36,1040,110471.51,1.3522,"J0585","99203","99223",0.702863,0.4121257,0.4033333
"CF6260719","WORCESTER","MA",5,50,6081.63,0,0,0,5,50,6081.63,1.5225,"99214","99205",NA,0.2022093,0.1986969,NA
"KE9552971","FISHKILL","NY",22,5152,109072.84,NA,NA,NA,NA,NA,NA,1.5244,"99205","99233","99213",0.2915246,0.2819703,0.2723616
"TQ3880254","BIRMINGHAM","AL",29,16856,309353.37,2,14699,80822.46,27,2157,228530.91,1.2155,"J0585","99204","99213",0.6060653,0.4970766,0.4772045
"MV6696335","NEWARK","NJ",19,1060,105583.91,0,0,0,19,1060,105583.91,2.8409,"99214","99213","99223",0.7684472,0.7556103,0.6295951
"CH0403648","ESSEX","CT",25,1581,143812.29,4,513,2227.95,21,1068,141584.34,1.2367,"99205","99214","99215",0.6808146,0.6675607,0.6583878
"FH4405355","ROCHESTER","NY",11,342,35762.43,0,0,0,11,342,35762.43,1.8598,"99223","99233","99232",0.2570338,0.2517761,0.2514073
"DN4825342","CLEVELAND","OH",29,311,30380.91,0,0,0,29,311,30380.91,1.7856,"95886","99215","99214",0.4166765,0.3681872,0.3656987
"YD6786018","GLEN BURNIE","MD",20,1676,217243.82,0,0,0,20,1676,217243.82,1.3507,"95911","95908","99214",0.7298415,0.6808466,0.5608243
"GC2892562","NEWPORT NEWS","VA",51,3553,159542.55,NA,NA,NA,NA,NA,NA,1.5937,"95912","95911","99223",0.4950397,0.4667715,0.4580138
"BZ6931453","ATLANTA","GA",6,289,32706.79,0,0,0,6,289,32706.79,1.4698,"96004","96000","99214",0.2790898,0.2620109,0.2349653
"YS0851014","LEWISTON","ME",28,910,76901.71,0,0,0,28,910,76901.71,1.4533,"95957","95951","99238",0.6418124,0.6403355,0.3212606
"OU9477537","URBANA","IL",24,521,37557.75,NA,NA,NA,NA,NA,NA,1.2791,"99213","99214","99215",0.321625,0.3017085,0.2349183
"UJ2594321","CLINTON TOWNSHIP","MI",10,230,29427.49,0,0,0,10,230,29427.49,1.6716,"99205","99214","99204",0.2789397,0.2620636,0.2520418
"GZ7068559","WALDORF","MD",54,4644,465948.36,2,1284,6611.4,52,3360,459336.96,1.4004,"95951","95957","92546",0.7769918,0.7710878,0.7525373
"PF8606282","EAST LANSING","MI",20,190,24886.78,0,0,0,20,190,24886.78,2.1044,"95816","95886","95819",0.3821368,0.364558,0.3627427
"RB9666554","RUSSELLVILLE","AL",19,2622,244651.51,0,0,0,19,2622,244651.51,1.4638,"99233","99232","99205",0.7766,0.7184,0.7161328
"LW9905859","GREENBELT","MD",27,951,157050.23,NA,NA,NA,NA,NA,NA,1.5092,"95819","99213","99204",0.479495,0.3704786,0.3662454
"OE3245176","PHILADELPHIA","PA",26,11326,124979.36,3,10874,65412.91,23,452,59566.45,1.4472,"99205","99204","99214",0.4752184,0.4418639,0.4121525
"MR6237242","MIDDLEBURY","CT",34,4889,214997.23,3,3018,16599.45,31,1871,198397.78,1.7804,"95886","99223","99233",0.4068313,0.4014976,0.4009745
"YK3200398","READING","PA",23,3128,57712.91,NA,NA,NA,NA,NA,NA,1.4437,"95819","99233","99214",0.5363023,0.5164867,0.5080507
"NA1503277","LOUISVILLE","KY",24,390,60406.98,0,0,0,24,390,60406.98,1.9235,"99215","99223","99232",0.441375,0.441014,0.42375
"UZ3417378","LITTLETON","CO",40,4790,179257.9,3,3745,24891.57,37,1045,154366.33,1.6105,"99232","99233","99291",0.3974925,0.3971301,0.395855
"RD9634472","KANSAS CITY","MO",6,42,5157.56,0,0,0,6,42,5157.56,0.9097,"99204",NA,NA,0.3542606,NA,NA
"SB9565668","CLINTON TOWNSHIP","MI",34,1893,283130.21,NA,NA,NA,NA,NA,NA,1.477,"99213","99214","99215",0.6287794,0.600676,0.56032
"HF3703807","NEWARK","DE",22,1031,118373.19,0,0,0,22,1031,118373.19,1.913,"99222","99214","99213",0.3467518,0.3080211,0.2794313
"XZ0662761","TAMPA","FL",11,282,34746.85,0,0,0,11,282,34746.85,1.2722,"95909","99213","99204",0.6918611,0.6529143,0.5126384
"ER9686056","MIAMI","FL",43,1586,196772.86,NA,NA,NA,NA,NA,NA,1.4786,"95886","99232","92540",0.2000011,0.1995539,0.1977934
"VJ1052332","KALAMAZOO","MI",16,1455,93884.5,0,0,0,16,1455,93884.5,1.6919,"99232","99222","99213",0.444904,0.437178,0.4312349
"GK6324735","LAURINBURG","NC",30,1646,214949.44,0,0,0,30,1646,214949.44,1.6363,"95913","99215","95816",0.5333925,0.4710509,0.4690013
"YB7648465","NILES","IL",20,3236,79210.04,NA,NA,NA,NA,NA,NA,1.2057,"99205","99215","99354",0.3440148,0.3283263,0.2737608
"BQ6428790","LEBANON","NH",5,299,23644.15,0,0,0,5,299,23644.15,1.3477,"99213","99214",NA,0.6126708,0.5601802,NA
"YY4657618","EUREKA","CA",7,237,30618.9,0,0,0,7,237,30618.9,1.15,"99214","95810","95811",0.4998545,0.2190068,0.2146519
"VE1508524","RESTON","VA",26,612,103984.74,0,0,0,26,612,103984.74,1.5276,"99205","99223","99291",0.4609191,0.4599795,0.4565378
"XC8926245","ROCHESTER","MN",11,57,7871.98,0,0,0,11,57,7871.98,1.1495,"99215",NA,NA,0.6817362,NA,NA
"LN0974254","MUNSTER","IN",27,610,61254.07,0,0,0,27,610,61254.07,1.665,"99233","99222","99213",0.4254752,0.4245527,0.3843639
